Ngày; close 
07/01/2022;1.532,24
10/01/2022;1.514,70
11/01/2022;1.499,74
12/01/2022;1.530,04
13/01/2022;1.526,43
14/01/2022;1.523,57
17/01/2022;1.478,61
18/01/2022;1.477,06
19/01/2022;1.482,55
20/01/2022;1.492,81
21/01/2022;1.502,16
24/01/2022;1.471,31
25/01/2022;1.516,16
26/01/2022;1.525,31
27/01/2022;1.516,57
28/01/2022;1.532,24
07/02/2022;1.541,25
08/02/2022;1.550,46
09/02/2022;1.552,44
10/02/2022;1.548,95
11/02/2022;1.545,92
14/02/2022;1.505,07
15/02/2022;1.527,36
16/02/2022;1.521,47
17/02/2022;1.540,51
18/02/2022;1.531,47
21/02/2022;1.533,40
22/02/2022;1.532,36
23/02/2022;1.538,83
24/02/2022;1.522,04
25/02/2022;1.526,50
28/02/2022;1.517,18
01/03/2022;1.520,12
02/03/2022;1.498,61
03/03/2022;1.522,49
04/03/2022;1.525,34
07/03/2022;1.509,12
08/03/2022;1.490,17
09/03/2022;1.489,25
10/03/2022;1.490,24
11/03/2022;1.477,14
14/03/2022;1.461,10
15/03/2022;1.468,89
16/03/2022;1.472,69
17/03/2022;1.469,92
18/03/2022;1.476,94
21/03/2022;1.502,67
22/03/2022;1.513,40
23/03/2022;1.505,59
24/03/2022;1.497,44
25/03/2022;1.498,36
28/03/2022;1.484,16
29/03/2022;1.500,57
30/03/2022;1.500,23
31/03/2022;1.508,53
01/04/2022;1.542,47
04/04/2022;1.548,04
05/04/2022;1.539,20
06/04/2022;1.557,11
07/04/2022;1.541,96
08/04/2022;1.524,31
12/04/2022;1.507,20
13/04/2022;1.525,39
14/04/2022;1.518,01
15/04/2022;1.493,74
18/04/2022;1.468,25
19/04/2022;1.440,61
20/04/2022;1.435,50
21/04/2022;1.426,87
22/04/2022;1.444,32
25/04/2022;1.366,39
26/04/2022;1.396,90
27/04/2022;1.402,03
28/04/2022;1.400,88
29/04/2022;1.417,31
04/05/2022;1.389,59
